OverallQual,GrLivArea,GarageCars,SalePrice
6,1511,2,185000
5,2192,1,179500
5,778,1,120500
6,1113,1,148000
8,1939,3,266000
7,1363,2,241500
8,2270,3,290000
6,1632,1,139000
5,816,1,124500
7,1548,2,205000
7,1560,2,201000
4,864,2,141000
9,2121,3,415298
7,2022,2,192000
7,1982,2,228500
6,1262,2,185000
7,1314,2,207500
8,1468,3,244600
6,1575,2,179200
7,1250,2,164700
6,1734,2,159000
4,858,0,88000
5,900,1,122000
6,1396,1,153575
8,1919,2,233230
5,1716,0,135900
5,1716,1,131000
7,2263,2,235000
6,1644,2,167000
6,1003,2,142500
5,1558,1,152000
7,1950,2,239000
6,1743,2,175000
6,1152,1,158500
5,1336,1,157000
8,2452,2,267000
7,1541,3,205000
5,894,2,149900
7,3493,3,295000
8,2000,3,305900
7,2243,3,225000
6,1406,0,89500
4,861,2,82500
9,1944,3,360000
6,1501,2,165600
6,972,1,132000
5,1118,2,119900
7,2036,2,375000
7,1641,2,178000
7,1432,2,188500
7,2353,2,260000
8,1959,3,270000
7,2646,3,260000
7,1472,2,187500
9,2596,3,342643
8,2468,3,354000
7,2730,2,301000
3,1163,1,126175
7,2978,2,242000
5,803,2,87000
8,1719,2,324000
6,1383,1,145250
6,2134,2,214500
5,1192,1,78000
5,1728,1,119000
5,1056,1,139000
8,1629,3,284000
7,1358,2,207000
6,1638,2,192000
5,1786,2,228950
9,1922,3,377426
7,1536,2,214000
7,1621,2,202500
6,1215,1,155000
8,1908,2,202900
4,841,1,82000
3,1040,2,87500
9,1684,2,266000
5,1112,1,85000
6,1577,1,140200
6,958,1,151500
6,1478,2,157500
7,1626,2,154000
9,2728,3,437154
9,1869,2,318061
7,1453,2,190000
5,1111,1,95000
6,720,2,105900
6,1595,1,140000
6,1200,2,177500
6,1167,2,173000
5,1142,2,134000
5,1352,1,130000
8,1924,2,280000
6,912,2,156000
5,1505,1,145000
7,1922,2,198500
6,987,1,118000
6,1574,2,190000
5,1344,1,147000
6,1394,2,159000
6,1431,1,165000
5,1268,1,132000
5,1287,2,162000
6,1664,2,172400
4,1588,2,134432
6,752,1,125000
5,1319,1,123000
7,1928,2,219500
1,904,0,61000
5,914,2,148000
8,2466,2,340000
9,1856,3,394432
6,1800,2,179000
5,1691,1,127000
7,1301,2,187750
7,1797,2,213500
6,784,2,76000
6,1953,2,240000
8,1269,2,192000
5,1184,0,81000
6,1125,1,125000
7,1479,2,191000
10,2332,3,426000
5,1367,1,119000
6,1961,2,215000
5,882,1,106500
4,788,0,100000
5,1034,1,109000
5,1144,1,129000
5,894,2,123000
5,1812,1,169500
5,1077,1,67000
7,1550,2,241000
8,1288,2,245500
7,1310,2,164990
5,672,1,108000
8,2263,2,258000
6,1572,2,168000
4,1620,2,150000
6,1639,1,115000
6,1680,1,177000
7,2172,3,280000
8,2078,3,339750
5,1276,1,60000
5,1056,2,145000
7,1478,2,222000
5,1028,2,115000
7,2097,3,228000
7,1340,2,181134
6,1400,2,149500
6,2624,3,239000
5,1134,1,126000
5,1056,1,142000
7,1344,4,206300
6,1602,2,215000
5,988,2,113000
8,2630,3,315000
6,1196,1,139000
7,1389,1,135000
7,1644,2,275000
4,907,1,109008
7,1208,2,195400
6,1412,2,175000
6,987,1,85400
6,1198,0,79900
5,1365,2,122500
6,1604,2,181000
4,630,0,81000
7,1661,2,212000
6,1118,2,116000
6,904,1,119000
5,694,1,90350
6,1196,2,110000
10,2402,3,555000
4,1440,0,118000
5,1573,2,162900
7,1258,3,172500
7,1908,2,210000
6,1689,2,127500
6,1888,2,190000
7,1886,2,199900
6,1376,1,119500
3,1183,1,120000
6,813,1,110000
7,1533,2,280000
6,1756,2,204000
8,1590,2,210000
5,1728,2,188000
7,1242,2,175500
5,1344,3,98000
4,1663,2,256000
8,1666,1,161000
5,1203,1,110000
8,1935,2,263435
7,1135,2,155000
5,864,1,62383
6,1660,1,188700
5,1040,0,124000
7,1414,2,178740
7,1277,2,167000
5,1644,1,146500
8,1634,3,250000
6,1710,2,187000
8,1502,2,212000
7,1969,2,190000
6,1072,2,148000
8,1976,3,440000
8,1652,2,251000
5,970,2,132500
6,1493,2,208900
9,2643,3,380000
8,1718,3,297000
4,1131,2,89471
9,1850,3,326000
9,1792,3,374000
7,1826,1,155000
6,1216,2,164000
5,999,1,132500
5,1113,1,147000
5,1073,2,156000
5,1484,2,175000
5,2414,2,160000
4,630,1,86000
5,1304,1,115000
6,1578,1,133000
6,1456,2,172785
5,1269,1,155000
5,886,1,91300
4,720,0,34900
8,3228,2,430000
7,1820,1,184000
5,899,1,130000
5,912,1,120000
6,1218,1,113000
7,1768,2,226700
5,1214,2,140000
7,1801,2,289000
6,1322,2,147000
5,1960,2,124500
8,1911,2,215000
6,1218,2,208300
7,1378,2,161000
5,1041,1,124500
5,1363,1,164900
7,1368,2,202665
5,864,2,129900
6,1080,2,134000
5,789,1,96500
10,2020,3,402861
6,2119,2,158000
7,2344,3,265000
6,1796,2,211000
7,2080,1,234000
4,1294,0,106250
6,1244,1,150000
6,1664,2,159000
10,4676,3,184750
7,2398,3,315750
7,1266,2,176000
5,928,1,132000
9,2713,3,446261
4,605,0,86000
6,2515,2,200624
6,1509,2,175000
6,1362,2,128000
5,827,1,107500
1,334,0,39300
8,1414,2,178000
5,1347,0,107500
7,1724,2,188000
4,864,2,111250
5,1159,1,158000
8,1601,2,272000
9,1838,3,315000
8,2285,3,248000
7,1680,2,213250
7,767,1,133000
7,1496,2,179665
7,2183,3,229000
6,1635,2,210000
5,768,2,129500
5,825,2,125000
7,2094,2,263000
6,1069,2,140000
5,928,1,112500
8,1717,3,255500
4,1126,2,108000
7,2046,3,284000
5,1048,1,113000
5,1092,1,141000
4,1336,1,108000
7,1446,2,175000
7,1557,2,234000
5,1392,2,121500
5,1389,2,170000
5,996,0,108000
6,1674,2,185000
7,2295,2,268000
6,1647,1,128000
9,2504,3,325000
7,1535,2,214000
8,2132,2,316600
5,943,2,135960
5,1728,2,142600
6,864,1,120000
7,1692,2,224500
7,1430,2,170000
5,1109,1,139000
5,1216,1,118500
7,1477,1,145000
5,1320,2,164500
7,1392,2,146000
5,1795,1,131500
6,1429,2,181900
8,2042,3,253293
6,816,0,118500
10,2775,2,325000
4,1573,1,133000
8,2028,3,369900
6,838,1,130000
5,860,2,137000
5,1473,1,143000
5,935,1,79500
7,1582,2,185900
10,2296,3,451950
5,816,2,138000
6,848,2,140000
5,924,1,110000
8,1826,3,319000
6,1368,1,114504
7,1402,3,194201
5,1647,2,217500
6,1556,2,151000
8,1904,2,275000
6,1375,1,141000
8,1915,2,220000
7,1200,2,151000
7,1494,2,221000
7,1986,2,205000
5,1040,2,152000
5,2008,1,225000
8,3194,2,359100
4,1029,1,118500
9,2153,3,313000
6,1032,2,148000
8,1872,2,261500
5,1120,0,147000
4,630,0,75500
6,1054,2,137500
6,1509,2,183200
6,832,2,105500
9,1828,3,314813
8,2262,3,305000
3,864,0,67000
6,2614,2,240000
5,980,2,135000
6,1512,2,168500
6,1790,2,165150
6,1116,2,160000
5,1422,1,139900
6,1520,1,153000
5,2080,2,135000
6,1350,2,168500
5,1750,1,124000
8,1554,2,209500
7,1411,2,82500
5,1056,1,139400
6,1056,2,144000
6,3395,0,200000
2,800,0,60000
5,1387,1,93000
5,796,0,85000
8,1567,3,264561
8,1518,2,274000
7,1929,2,226000
8,2704,2,345000
5,1620,2,152000
9,1766,3,370878
6,981,2,143250
5,1048,2,98300
6,1094,2,155000
6,1839,2,155000
4,630,0,84500
7,1665,2,205950
4,1510,1,108000
7,1716,2,191000
6,1469,1,135000
8,2113,3,350000
6,1092,1,88000
5,1053,1,145500
7,1502,1,149000
6,1458,1,97500
5,1486,2,167000
7,1935,2,197900
8,2448,3,402000
6,1392,2,110000
4,1181,2,137500
8,2097,3,423000
8,1936,2,230500
6,2380,2,129000
6,1679,2,193500
5,1437,2,168000
4,1180,1,137500
6,1476,2,173500
6,1369,1,103600
6,1208,2,165000
6,1839,2,257500
6,1136,1,140000
6,1441,2,148500
4,1774,3,87000
5,792,1,109500
8,2046,3,372500
5,988,2,128500
6,923,1,143000
5,1520,1,159434
6,1291,2,173000
9,1668,3,285000
7,1839,2,221000
7,2090,2,207500
7,1761,2,227875
7,1102,2,148800
8,1419,2,392000
6,1362,2,194700
6,848,2,141000
10,4316,3,755000
7,2519,2,335000
5,1073,1,108480
5,1539,2,141500
6,1137,2,176000
5,616,1,89000
5,1148,1,123500
5,894,1,138500
7,1391,2,196000
8,1800,3,312500
7,1164,2,140000
8,2576,3,361919
5,1812,2,140000
7,1484,2,213000
4,1092,0,55000
7,1824,2,302000
8,1324,2,254000
7,1456,2,179540
5,904,1,109900
3,729,0,52000
4,1178,1,102776
8,1228,2,189000
4,960,2,129000
6,1479,2,130500
6,1350,2,165000
7,2554,2,159500
5,1178,2,157000
7,2418,3,341000
5,971,1,128500
8,1742,2,275000
6,848,2,143000
4,864,2,124500
4,1470,1,135000
9,1698,3,320000
4,864,2,120500
6,1680,2,222000
7,1232,2,194500
5,1776,3,110000
4,1208,2,103000
8,1616,2,236500
7,1146,2,187500
7,2031,2,222500
5,1144,1,131400
5,948,1,108000
7,1768,2,163000
3,1040,2,93500
8,1801,3,239900
5,1200,0,179000
7,1728,2,190000
5,1432,2,132000
6,912,1,142000
7,1349,2,179000
5,1464,2,175000
8,1337,2,180000
8,2715,2,299800
7,2256,2,236000
7,2640,4,265979
7,1720,2,260400
4,1529,1,98000
4,1140,0,96500
7,1320,2,162000
6,1494,2,217000
8,2098,3,275500
6,1026,2,156000
6,1471,2,172500
8,1768,2,212000
6,1386,2,158900
7,1501,2,179400
8,2531,3,290000
6,864,1,127500
5,1301,2,100000
7,1547,2,215200
8,2365,3,337000
8,1494,2,270000
9,1506,2,264132
7,1714,2,196500
6,1750,1,160000
7,1836,2,216837
8,3279,3,538000
5,858,2,134900
4,1220,2,102000
6,1117,2,107000
5,912,1,114500
8,1973,3,395000
6,1204,2,162000
7,1614,3,221500
5,894,2,142500
5,2020,2,144000
6,1004,2,135000
7,1253,2,176000
6,1603,2,175900
7,1430,2,187100
5,1110,2,165500
6,1484,0,128000
6,1342,2,161500
5,1652,1,139000
7,2084,2,233000
4,901,1,107900
6,2087,2,187500
7,1145,2,160200
6,1062,2,146800
7,2013,2,269790
8,1496,2,225000
7,1895,2,194500
6,1564,2,171000
6,1285,2,143500
5,773,1,110000
9,3140,3,485000
5,1768,1,175000
6,1688,2,200000
4,1196,2,109900
7,1456,2,189000
9,2822,3,582933
5,1128,1,118000
7,1428,2,227680
5,980,1,135500
5,1576,2,223500
5,1086,2,159950
5,2138,2,106000
6,1309,2,181000
6,848,2,144500
5,1044,2,55993
6,1442,1,157900
5,1250,1,116000
7,1661,2,224900
5,1008,1,137000
8,1689,3,271000
6,1052,2,155000
7,1358,2,224000
7,1640,2,183000
4,936,2,93000
7,1733,2,225000
6,1489,1,139500
8,1489,2,232600
10,2084,3,385000
5,784,0,109500
7,1434,2,189000
5,2126,2,185000
7,1223,2,147400
6,1392,2,166000
7,1200,2,151000
7,1829,2,237000
6,1516,2,167000
5,1144,2,139950
4,1067,2,128000
5,1559,2,153500
6,987,1,100000
5,1099,1,144000
5,1200,1,130500
6,1482,1,140000
5,1539,2,157500
6,1165,2,174900
5,1800,0,141000
5,1416,3,153900
5,1701,2,171000
7,1775,2,213000
5,864,1,133500
6,2358,2,240000
6,1855,2,187000
6,848,2,131500
8,1456,2,215000
7,1646,1,164000
6,1445,2,158000
5,1779,2,170000
5,1040,1,127000
6,1026,2,147000
6,1481,2,174000
7,1370,2,152000
6,2654,2,250000
7,1426,1,189950
5,1039,2,131500
6,1097,2,152000
5,1148,1,132500
7,1372,2,250580
5,1002,2,148500
8,1646,3,248900
4,1120,2,129000
5,2320,2,169000
7,1949,2,236000
5,894,1,109500
6,1682,2,200500
5,910,2,116000
5,1268,1,133000
5,1131,1,66500
8,2610,2,303477
4,1040,2,132250
9,2224,3,350000
5,1155,2,148000
5,864,1,136500
5,1090,2,157000
7,1717,2,187500
6,1593,2,178000
4,2230,1,118500
5,892,1,100000
9,1709,2,328900
5,1712,2,145000
5,1393,1,135500
8,2217,2,268000
6,1505,2,149500
5,924,2,122900
6,1683,2,172500
6,1068,1,154500
5,1383,1,165000
5,1535,2,118858
6,1796,2,140000
4,951,1,106500
5,2240,2,142953
9,2364,3,611657
5,1236,1,135000
4,858,1,110000
5,1306,1,153000
7,1509,2,180000
7,1670,3,240000
5,902,1,125500
5,1063,1,128000
8,1636,3,255000
7,2057,1,250000
5,902,2,131000
6,1484,2,174000
5,2274,2,154300
5,1268,1,143500
5,1015,1,88000
5,2002,3,145000
6,1224,2,173733
4,1092,1,75000
2,480,1,35311
4,1229,1,135000
7,2127,3,238000
6,1414,2,176500
6,1721,2,201000
5,2200,0,145900
6,1316,2,169990
6,1617,2,193000
6,1686,2,207500
5,1126,2,175000
8,2374,3,285000
7,1978,2,176000
8,1788,2,236500
7,2236,2,222000
8,1466,3,201000
5,925,1,117500
9,1905,3,320000
7,1500,2,190000
7,2069,2,242000
4,747,2,79900
7,1200,2,184900
7,1971,2,253000
7,1962,3,239799
7,2403,1,244400
6,1728,2,150900
7,2060,2,214000
4,1440,0,150000
5,1632,2,143000
6,1344,2,137500
5,1869,2,124900
5,1144,1,143000
8,1629,3,270000
7,1776,2,192500
6,1381,2,197500
5,864,2,129000
5,965,1,119900
5,768,1,133900
5,1968,2,172000
6,980,0,127500
6,1958,2,145000
6,1229,2,124000
5,1057,2,132000
7,1337,2,185000
7,1416,2,155000
5,858,0,116500
6,2872,2,272000
6,1548,2,155000
9,1800,2,239000
7,1894,2,214900
6,1484,2,178900
5,1308,1,160000
5,1098,1,135000
3,968,0,37900
6,1095,1,140000
4,1192,0,135000
7,1626,2,173000
6,918,1,99500
7,1428,2,182000
7,2019,2,167500
7,1382,2,165000
4,869,0,85500
7,1241,2,199900
4,894,2,110000
5,1121,2,139000
7,999,2,178400
8,2612,3,336000
7,1266,2,159895
8,2290,2,255900
5,1734,2,126000
5,1164,1,125000
6,1635,1,117000
9,1940,3,395192
6,2030,2,195000
7,1576,2,197000
8,2392,3,348000
8,1742,2,168000
6,1851,2,187000
6,1500,2,173900
10,1718,3,337500
4,1230,1,121600
5,1050,1,136500
6,1442,2,185000
3,1077,1,91000
7,1208,2,206000
3,944,2,82000
5,691,1,86000
8,1574,3,232000
5,1680,2,136905
7,1504,2,181000
5,985,1,149900
6,1657,2,163500
4,1092,1,88000
7,1710,2,240000
5,1522,0,102000
5,1271,1,135000
5,1664,0,100000
6,1502,1,165000
5,1022,1,85000
6,1082,1,119200
8,1665,2,227000
7,1504,2,203000
8,1360,2,187500
7,1472,2,160000
7,1506,2,213490
4,1132,2,176000
7,1220,2,194000
5,1248,1,87000
7,1504,2,191000
8,2898,2,287000
5,882,2,112500
5,1264,2,167500
8,1646,3,293077
5,1376,1,105000
6,1218,1,118000
5,1928,0,160000
7,3082,2,197000
8,2520,3,310000
7,1654,3,230000
5,954,1,119750
4,845,1,84000
9,1620,3,315500
8,2263,2,287000
4,1344,0,97000
4,630,1,80000
5,1803,2,155000
6,1632,2,173000
6,1306,2,196000
7,2329,2,262280
8,2524,2,278000
3,1733,2,139600
9,2868,3,556581
5,990,2,145000
5,1771,2,115000
4,930,1,84900
7,1302,2,176485
7,1316,2,200141
6,1977,2,165000
5,1526,1,144500
8,1989,2,255000
6,1523,2,180000
7,1364,2,185850
7,1850,2,248000
9,2184,3,335000
6,1991,2,220000
8,1338,2,213500
3,894,3,81000
5,2337,2,90000
6,1103,2,110500
5,1154,2,154000
7,2260,2,328000
6,1571,2,178000
6,1611,2,167900
6,2521,2,151400
5,893,2,135000
5,1048,1,135000
6,1556,2,154000
5,1456,1,91500
6,1426,2,159500
7,1240,3,194000
7,1740,1,219500
5,1466,2,170000
5,1096,1,138800
6,848,2,155900
5,990,1,126000
6,1258,2,145000
5,1040,1,133000
7,1459,2,192000
6,1251,1,160000
6,1498,2,187500
6,996,2,147000
4,1092,1,83500
8,1953,3,252000
7,1709,2,137500
8,1247,2,197000
3,1040,2,92900
7,1252,2,160000
6,1694,2,136500
5,1200,2,146000
5,936,1,129000
6,1314,2,176432
6,1355,0,127000
8,1088,2,170000
4,1324,1,128000
7,1601,2,157000
2,438,1,60000
5,950,1,119500
5,1134,1,135000
6,1194,2,159500
5,1302,2,106000
8,2622,2,325000
7,1442,2,179900
7,2021,2,274725
6,1690,2,181000
8,1836,3,280000
6,1658,2,188000
7,1964,2,205000
5,816,1,129900
5,1008,1,134500
5,833,1,117000
8,1734,3,318000
8,1419,2,184100
5,894,2,130000
5,1601,1,140000
5,1040,1,133700
6,1012,1,118400
7,1552,3,212900
4,960,1,112000
5,698,0,118000
7,1482,2,163900
4,1005,2,115000
7,1555,3,174000
7,1530,3,259000
7,1959,2,215000
5,936,2,140000
4,1981,2,135000
5,974,0,93500
6,2210,1,117500
8,2020,2,239500
6,1600,2,169000
6,986,1,102000
6,1252,1,119000
5,1020,0,94000
6,1567,2,196000
5,1167,2,144000
5,952,2,139000
5,1868,2,197500
8,2828,3,424870
5,1006,0,80000
4,924,1,80000
5,1576,1,149000
6,1298,2,180000
7,1564,1,174500
7,1111,1,116900
7,1482,2,143000
6,932,1,124000
5,1466,2,149900
6,1811,2,230000
6,816,1,120500
7,1820,2,201800
5,1437,2,218000
5,1265,2,179900
7,1314,2,230000
8,1580,3,235128
6,1876,2,185000
6,1456,2,146000
6,1640,2,224000
5,894,2,129000
4,1258,2,108959
5,1432,2,194000
7,1502,2,233170
8,1694,3,245350
6,1671,2,173000
6,2108,2,235000
10,3627,3,625000
6,1118,1,171000
6,1261,2,163000
7,1250,2,171900
5,3086,0,200500
6,2345,2,239000
8,2872,2,285000
5,923,1,119500
6,1224,1,115000
5,1343,1,154900
5,1124,0,93000
7,2514,2,250000
8,1652,2,392500
10,4476,3,745000
5,1130,2,120000
5,1572,3,186700
5,1221,1,104900
3,1699,2,95000
8,1624,3,262000
7,1660,2,195000
7,1804,2,189000
4,1622,4,168000
8,1441,2,174000
5,1472,1,125000
6,1224,2,165000
6,1352,1,158000
6,1456,2,176000
7,1863,3,219210
7,1690,1,144000
7,1212,2,178000
4,1382,2,148000
4,864,1,116050
7,1779,2,197900
5,1348,1,117000
7,1630,2,213000
5,1074,2,153500
7,2196,3,271900
4,1056,1,107000
6,1700,2,200000
5,1283,2,140000
8,1660,2,290000
6,1845,2,189000
8,1752,2,164000
4,672,1,113000
4,960,1,145000
5,999,1,134500
5,894,1,125000
6,1902,2,112000
8,1314,2,229456
4,912,0,80500
6,1218,0,91500
5,912,1,115000
5,1211,1,134000
6,1846,1,143000
5,2136,2,137900
7,1490,2,184000
6,1138,1,145000
6,1933,3,214000
5,912,2,147000
9,1702,3,367294
5,1507,1,127000
5,2620,2,190000
5,1190,2,132500
4,1224,2,101800
5,1188,2,142000
5,1964,0,130000
5,1784,1,138887
7,1626,2,175500
7,1948,2,195000
6,1141,2,142500
8,1484,2,265900
7,1768,2,224900
7,1689,3,248328
7,1173,2,170000
10,2076,3,465000
8,1517,2,230000
6,1868,2,178000
7,1553,2,186500
6,1034,3,169900
6,2058,2,129500
5,988,1,119000
7,2110,2,244000
7,1405,2,171750
5,874,1,130000
7,2167,2,294000
7,1656,2,165400
6,1367,1,127500
8,1987,2,301500
5,864,0,99900
7,1166,2,190000
6,1054,2,151000
6,1675,2,181000
5,1050,1,128900
4,1788,1,161500
6,1824,2,180500
6,1337,2,181000
7,1452,2,183900
7,1889,1,122000
9,2018,3,378500
8,3447,3,381000
5,1524,1,144000
7,1524,2,260000
6,1489,2,185750
5,935,1,137000
6,1357,1,177000
5,1250,2,139000
5,1920,2,137000
6,1395,2,162000
6,1724,2,197900
8,2031,2,237000
4,1128,2,68400
7,1573,2,227000
7,1339,2,180000
5,1040,2,150500
6,1824,0,139000
6,2447,1,169000
6,1412,1,132500
6,1328,2,143000
5,1582,2,190000
8,1659,2,278000
8,1970,3,281000
5,1152,2,180500
5,1302,1,119500
5,2372,1,107500
7,1664,2,162900
5,864,2,115000
5,1052,1,138500
5,1128,2,155000
6,1072,2,140000
10,5642,2,160000
5,1246,1,154000
7,1983,2,225000
6,1494,1,177500
8,2526,3,290000
7,1616,3,232000
7,1708,2,130000
9,1652,2,325000
7,1368,2,202500
5,990,2,138000
5,1122,2,147000
6,1294,2,179200
7,1902,2,335000
7,1274,2,203000
8,2810,2,302000
9,2599,3,333168
4,948,1,119000
6,2112,2,206900
8,1630,3,295493
7,1352,2,208900
8,1787,3,275000
4,948,1,111000
6,1478,2,156500
3,720,1,72500
7,1923,2,190000
4,708,0,82500
8,1795,3,147000
4,796,0,55000
3,774,0,79000
5,816,1,130500
6,2792,2,256000
7,1632,2,176500
8,1588,3,227000
5,954,2,132500
4,816,1,100000
5,1360,1,125500
5,1365,2,125000
6,1334,2,167900
5,1656,2,135000
4,693,0,52500
7,1861,2,200000
5,864,1,128500
4,872,4,123000
6,1114,2,155000
8,2169,2,228500
6,1913,2,177000
7,1456,2,155835
4,960,1,108500
7,2156,2,262500
8,1776,3,283463
7,1494,2,215000
8,2358,0,122000
5,2634,4,200000
6,1716,2,171000
6,1176,2,134900
8,3238,3,410000
7,1865,3,235000
7,1920,2,170000
5,892,1,110000
5,1078,2,149900
6,1573,2,177500
9,1980,3,315000
5,2601,2,189000
7,1530,2,260000
4,1738,1,104900
6,1412,2,156932
7,1200,2,144152
7,1674,2,216000
7,1790,2,193000
5,1475,1,127000
6,848,2,144000
8,1668,2,232000
4,1374,1,105000
6,1661,1,165500
7,2097,2,274300
10,2633,3,466500
7,1958,3,250000
8,1571,3,239000
6,790,1,91000
5,1604,2,117000
6,987,1,83000
5,1394,2,167500
3,864,1,58500
6,2117,2,237500
7,1762,2,157000
5,1416,2,112000
6,1258,1,105000
4,1154,1,125500
7,2784,2,250000
6,2526,1,136000
9,1746,3,377500
6,1218,2,131000
7,1525,2,235000
5,1584,3,124000
5,900,1,123000
6,1912,2,163000
7,1500,3,246578
8,2482,3,281213
5,1687,2,160000
5,1513,1,137500
5,1904,1,138000
6,1608,1,137450
6,1158,1,120000
6,1593,2,193000
7,1294,2,193879
8,1464,3,282922
3,1214,3,105000
8,1646,2,275000
5,768,2,133000
5,833,0,112000
4,1363,2,125500
7,2093,2,215000
7,1840,2,230000
6,1668,1,140000
4,1040,2,90000
8,1844,2,257000
6,1848,2,207000
7,1569,3,175900
4,2290,2,122500
